Category,Section_Type,Designation,Depth_mm,Width_mm,Thickness_mm,Weight_kg_per_m
Angle,ISA_Equal,ISA170x170x12,170,170,12,32.03
Angle,ISA_Equal,ISA175x175x3,175,175,3,8.24
Angle,ISA_Equal,ISA175x175x4,175,175,4,10.99
Angle,ISA_Equal,ISA175x175x5,175,175,5,13.74
Angle,ISA_Equal,ISA175x175x6,175,175,6,16.48
Angle,ISA_Equal,ISA175x175x8,175,175,8,21.98
Angle,ISA_Equal,ISA175x175x10,175,175,10,27.47
Angle,ISA_Equal,ISA175x175x12,175,175,12,32.97
Angle,ISA_Equal,ISA180x180x3,180,180,3,8.48
Angle,ISA_Equal,ISA180x180x4,180,180,4,11.3
Angle,ISA_Equal,ISA180x180x5,180,180,5,14.13
Angle,ISA_Equal,ISA180x180x6,180,180,6,16.96
Angle,ISA_Equal,ISA180x180x8,180,180,8,22.61
Angle,ISA_Equal,ISA180x180x10,180,180,10,28.26
Angle,ISA_Equal,ISA180x180x12,180,180,12,33.91
Angle,ISA_Equal,ISA185x185x3,185,185,3,8.71
Angle,ISA_Equal,ISA185x185x4,185,185,4,11.62
Angle,ISA_Equal,ISA185x185x5,185,185,5,14.52
Angle,ISA_Equal,ISA185x185x6,185,185,6,17.43
Angle,ISA_Equal,ISA185x185x8,185,185,8,23.24
Angle,ISA_Equal,ISA185x185x10,185,185,10,29.04
Angle,ISA_Equal,ISA185x185x12,185,185,12,34.85
Angle,ISA_Equal,ISA190x190x3,190,190,3,8.95
Angle,ISA_Equal,ISA190x190x4,190,190,4,11.93
Angle,ISA_Equal,ISA190x190x5,190,190,5,14.91
Angle,ISA_Equal,ISA190x190x6,190,190,6,17.9
Angle,ISA_Equal,ISA190x190x8,190,190,8,23.86
Angle,ISA_Equal,ISA190x190x10,190,190,10,29.83
Angle,ISA_Equal,ISA190x190x12,190,190,12,35.8
Angle,ISA_Equal,ISA195x195x3,195,195,3,9.18
Angle,ISA_Equal,ISA195x195x4,195,195,4,12.25
Angle,ISA_Equal,ISA195x195x5,195,195,5,15.31
Angle,ISA_Equal,ISA195x195x6,195,195,6,18.37
Angle,ISA_Equal,ISA195x195x8,195,195,8,24.49
Angle,ISA_Equal,ISA195x195x10,195,195,10,30.61
Angle,ISA_Equal,ISA195x195x12,195,195,12,36.74
Angle,ISA_Equal,ISA200x200x3,200,200,3,9.42
Angle,ISA_Equal,ISA200x200x4,200,200,4,12.56
Angle,ISA_Equal,ISA200x200x5,200,200,5,15.7
Angle,ISA_Equal,ISA200x200x6,200,200,6,18.84
Angle,ISA_Equal,ISA200x200x8,200,200,8,25.12
Angle,ISA_Equal,ISA200x200x10,200,200,10,31.4
Angle,ISA_Equal,ISA200x200x12,200,200,12,37.68
Angle,ISA_Unequal,ISA50x30x5,50,30,5,3.14
Angle,ISA_Unequal,ISA50x30x6,50,30,6,3.77
Angle,ISA_Unequal,ISA50x30x8,50,30,8,5.02
Angle,ISA_Unequal,ISA50x30x10,50,30,10,6.28
Angle,ISA_Unequal,ISA50x40x5,50,40,5,3.53
Angle,ISA_Unequal,ISA50x40x6,50,40,6,4.24
Angle,ISA_Unequal,ISA50x40x8,50,40,8,5.65
Angle,ISA_Unequal,ISA50x40x10,50,40,10,7.06
Angle,ISA_Unequal,ISA60x30x5,60,30,5,3.53
Angle,ISA_Unequal,ISA60x30x6,60,30,6,4.24
Angle,ISA_Unequal,ISA60x30x8,60,30,8,5.65
Angle,ISA_Unequal,ISA60x30x10,60,30,10,7.06
Angle,ISA_Unequal,ISA60x40x5,60,40,5,3.92
Angle,ISA_Unequal,ISA60x40x6,60,40,6,4.71
Angle,ISA_Unequal,ISA60x40x8,60,40,8,6.28
Angle,ISA_Unequal,ISA60x40x10,60,40,10,7.85
Angle,ISA_Unequal,ISA60x50x5,60,50,5,4.32
Angle,ISA_Unequal,ISA60x50x6,60,50,6,5.18
Angle,ISA_Unequal,ISA60x50x8,60,50,8,6.91
Angle,ISA_Unequal,ISA60x50x10,60,50,10,8.63
Angle,ISA_Unequal,ISA70x30x5,70,30,5,3.92
Angle,ISA_Unequal,ISA70x30x6,70,30,6,4.71
Angle,ISA_Unequal,ISA70x30x8,70,30,8,6.28
Angle,ISA_Unequal,ISA70x30x10,70,30,10,7.85
Angle,ISA_Unequal,ISA70x40x5,70,40,5,4.32
Angle,ISA_Unequal,ISA70x40x6,70,40,6,5.18
Angle,ISA_Unequal,ISA70x40x8,70,40,8,6.91
Angle,ISA_Unequal,ISA70x40x10,70,40,10,8.63
Angle,ISA_Unequal,ISA70x50x5,70,50,5,4.71
Angle,ISA_Unequal,ISA70x50x6,70,50,6,5.65
Angle,ISA_Unequal,ISA70x50x8,70,50,8,7.54
Angle,ISA_Unequal,ISA70x50x10,70,50,10,9.42
Angle,ISA_Unequal,ISA70x60x5,70,60,5,5.1
Angle,ISA_Unequal,ISA70x60x6,70,60,6,6.12
Angle,ISA_Unequal,ISA70x60x8,70,60,8,8.16
Angle,ISA_Unequal,ISA70x60x10,70,60,10,10.2
Angle,ISA_Unequal,ISA80x30x5,80,30,5,4.32
Angle,ISA_Unequal,ISA80x30x6,80,30,6,5.18
Angle,ISA_Unequal,ISA80x30x8,80,30,8,6.91
Angle,ISA_Unequal,ISA80x30x10,80,30,10,8.63
Angle,ISA_Unequal,ISA80x40x5,80,40,5,4.71
Angle,ISA_Unequal,ISA80x40x6,80,40,6,5.65
Angle,ISA_Unequal,ISA80x40x8,80,40,8,7.54
Angle,ISA_Unequal,ISA80x40x10,80,40,10,9.42
Angle,ISA_Unequal,ISA80x50x5,80,50,5,5.1
Angle,ISA_Unequal,ISA80x50x6,80,50,6,6.12
Angle,ISA_Unequal,ISA80x50x8,80,50,8,8.16
Angle,ISA_Unequal,ISA80x50x10,80,50,10,10.2
Angle,ISA_Unequal,ISA80x60x5,80,60,5,5.49
Angle,ISA_Unequal,ISA80x60x6,80,60,6,6.59
Angle,ISA_Unequal,ISA80x60x8,80,60,8,8.79
Angle,ISA_Unequal,ISA80x60x10,80,60,10,10.99
Angle,ISA_Unequal,ISA80x70x5,80,70,5,5.89
Angle,ISA_Unequal,ISA80x70x6,80,70,6,7.06
Angle,ISA_Unequal,ISA80x70x8,80,70,8,9.42
Angle,ISA_Unequal,ISA80x70x10,80,70,10,11.77
Angle,ISA_Unequal,ISA90x30x5,90,30,5,4.71
Angle,ISA_Unequal,ISA90x30x6,90,30,6,5.65
Angle,ISA_Unequal,ISA90x30x8,90,30,8,7.54
Angle,ISA_Unequal,ISA90x30x10,90,30,10,9.42
Angle,ISA_Unequal,ISA90x40x5,90,40,5,5.1
Angle,ISA_Unequal,ISA90x40x6,90,40,6,6.12
Angle,ISA_Unequal,ISA90x40x8,90,40,8,8.16
Angle,ISA_Unequal,ISA90x40x10,90,40,10,10.2
Angle,ISA_Unequal,ISA90x50x5,90,50,5,5.49
Angle,ISA_Unequal,ISA90x50x6,90,50,6,6.59
Angle,ISA_Unequal,ISA90x50x8,90,50,8,8.79
Angle,ISA_Unequal,ISA90x50x10,90,50,10,10.99
Angle,ISA_Unequal,ISA90x60x5,90,60,5,5.89
Angle,ISA_Unequal,ISA90x60x6,90,60,6,7.06
Angle,ISA_Unequal,ISA90x60x8,90,60,8,9.42
Angle,ISA_Unequal,ISA90x60x10,90,60,10,11.77
Angle,ISA_Unequal,ISA90x70x5,90,70,5,6.28
Angle,ISA_Unequal,ISA90x70x6,90,70,6,7.54
Angle,ISA_Unequal,ISA90x70x8,90,70,8,10.05
Angle,ISA_Unequal,ISA90x70x10,90,70,10,12.56
Angle,ISA_Unequal,ISA90x80x5,90,80,5,6.67
Angle,ISA_Unequal,ISA90x80x6,90,80,6,8.01
Angle,ISA_Unequal,ISA90x80x8,90,80,8,10.68
Angle,ISA_Unequal,ISA90x80x10,90,80,10,13.34
Angle,ISA_Unequal,ISA100x30x5,100,30,5,5.1
Angle,ISA_Unequal,ISA100x30x6,100,30,6,6.12
Angle,ISA_Unequal,ISA100x30x8,100,30,8,8.16
Angle,ISA_Unequal,ISA100x30x10,100,30,10,10.2
Angle,ISA_Unequal,ISA100x40x5,100,40,5,5.49
Angle,ISA_Unequal,ISA100x40x6,100,40,6,6.59
Angle,ISA_Unequal,ISA100x40x8,100,40,8,8.79
Angle,ISA_Unequal,ISA100x40x10,100,40,10,10.99
Angle,ISA_Unequal,ISA100x50x5,100,50,5,5.89
Angle,ISA_Unequal,ISA100x50x6,100,50,6,7.06
Angle,ISA_Unequal,ISA100x50x8,100,50,8,9.42
Angle,ISA_Unequal,ISA100x50x10,100,50,10,11.77
Angle,ISA_Unequal,ISA100x60x5,100,60,5,6.28
Angle,ISA_Unequal,ISA100x60x6,100,60,6,7.54
Angle,ISA_Unequal,ISA100x60x8,100,60,8,10.05
Angle,ISA_Unequal,ISA100x60x10,100,60,10,12.56
Angle,ISA_Unequal,ISA100x70x5,100,70,5,6.67
Angle,ISA_Unequal,ISA100x70x6,100,70,6,8.01
Angle,ISA_Unequal,ISA100x70x8,100,70,8,10.68
Angle,ISA_Unequal,ISA100x70x10,100,70,10,13.34
Angle,ISA_Unequal,ISA100x80x5,100,80,5,7.06
Angle,ISA_Unequal,ISA100x80x6,100,80,6,8.48
Angle,ISA_Unequal,ISA100x80x8,100,80,8,11.3
Angle,ISA_Unequal,ISA100x80x10,100,80,10,14.13
Angle,ISA_Unequal,ISA100x90x5,100,90,5,7.46
Angle,ISA_Unequal,ISA100x90x6,100,90,6,8.95
Angle,ISA_Unequal,ISA100x90x8,100,90,8,11.93
Angle,ISA_Unequal,ISA100x90x10,100,90,10,14.91
Angle,ISA_Unequal,ISA110x30x5,110,30,5,5.49
Angle,ISA_Unequal,ISA110x30x6,110,30,6,6.59
Angle,ISA_Unequal,ISA110x30x8,110,30,8,8.79
Angle,ISA_Unequal,ISA110x30x10,110,30,10,10.99
Angle,ISA_Unequal,ISA110x40x5,110,40,5,5.89
Angle,ISA_Unequal,ISA110x40x6,110,40,6,7.06
Angle,ISA_Unequal,ISA110x40x8,110,40,8,9.42
Angle,ISA_Unequal,ISA110x40x10,110,40,10,11.77
Angle,ISA_Unequal,ISA110x50x5,110,50,5,6.28
Angle,ISA_Unequal,ISA110x50x6,110,50,6,7.54
Angle,ISA_Unequal,ISA110x50x8,110,50,8,10.05
Angle,ISA_Unequal,ISA110x50x10,110,50,10,12.56
Angle,ISA_Unequal,ISA110x60x5,110,60,5,6.67
Angle,ISA_Unequal,ISA110x60x6,110,60,6,8.01
Angle,ISA_Unequal,ISA110x60x8,110,60,8,10.68
Angle,ISA_Unequal,ISA110x60x10,110,60,10,13.34
Angle,ISA_Unequal,ISA110x70x5,110,70,5,7.06
Angle,ISA_Unequal,ISA110x70x6,110,70,6,8.48
Angle,ISA_Unequal,ISA110x70x8,110,70,8,11.3
Angle,ISA_Unequal,ISA110x70x10,110,70,10,14.13
Angle,ISA_Unequal,ISA110x80x5,110,80,5,7.46
Angle,ISA_Unequal,ISA110x80x6,110,80,6,8.95
Angle,ISA_Unequal,ISA110x80x8,110,80,8,11.93
Angle,ISA_Unequal,ISA110x80x10,110,80,10,14.91
Angle,ISA_Unequal,ISA110x90x5,110,90,5,7.85
Angle,ISA_Unequal,ISA110x90x6,110,90,6,9.42
Angle,ISA_Unequal,ISA110x90x8,110,90,8,12.56
Angle,ISA_Unequal,ISA110x90x10,110,90,10,15.7
Angle,ISA_Unequal,ISA110x100x5,110,100,5,8.24
Angle,ISA_Unequal,ISA110x100x6,110,100,6,9.89
Angle,ISA_Unequal,ISA110x100x8,110,100,8,13.19
Angle,ISA_Unequal,ISA110x100x10,110,100,10,16.48
Angle,ISA_Unequal,ISA120x30x5,120,30,5,5.89
Angle,ISA_Unequal,ISA120x30x6,120,30,6,7.06
Angle,ISA_Unequal,ISA120x30x8,120,30,8,9.42
Angle,ISA_Unequal,ISA120x30x10,120,30,10,11.77
Angle,ISA_Unequal,ISA120x40x5,120,40,5,6.28
Angle,ISA_Unequal,ISA120x40x6,120,40,6,7.54
Angle,ISA_Unequal,ISA120x40x8,120,40,8,10.05
Angle,ISA_Unequal,ISA120x40x10,120,40,10,12.56
Angle,ISA_Unequal,ISA120x50x5,120,50,5,6.67
Angle,ISA_Unequal,ISA120x50x6,120,50,6,8.01
Angle,ISA_Unequal,ISA120x50x8,120,50,8,10.68
Angle,ISA_Unequal,ISA120x50x10,120,50,10,13.34
Angle,ISA_Unequal,ISA120x60x5,120,60,5,7.06
Angle,ISA_Unequal,ISA120x60x6,120,60,6,8.48
Angle,ISA_Unequal,ISA120x60x8,120,60,8,11.3
Angle,ISA_Unequal,ISA120x60x10,120,60,10,14.13
Angle,ISA_Unequal,ISA120x70x5,120,70,5,7.46
Angle,ISA_Unequal,ISA120x70x6,120,70,6,8.95
Angle,ISA_Unequal,ISA120x70x8,120,70,8,11.93
Angle,ISA_Unequal,ISA120x70x10,120,70,10,14.91
Angle,ISA_Unequal,ISA120x80x5,120,80,5,7.85
Angle,ISA_Unequal,ISA120x80x6,120,80,6,9.42
Angle,ISA_Unequal,ISA120x80x8,120,80,8,12.56
Angle,ISA_Unequal,ISA120x80x10,120,80,10,15.7
Angle,ISA_Unequal,ISA120x90x5,120,90,5,8.24
